Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTIT-1927,The grid Beziehungen is not keep the configuration,2019-10-29,3,ramon,,,,,,,client-app,client-app,client-app,,Bug,Closed,JUSTIT,,,Dev,,stefan,0,3,,0,,,
JUSTIT-1916,Change and save grid layouts in Dossier/Geschäft,2019-10-29,0.5,sebastian,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,impl,,stefan,0,0.5,,0,,,
JUSTIT-1899,The Schriftgut properties should always be able to be mutated,2019-10-29,2,ignacio,,,,,,,Schriftgut,Schriftgut,Schriftgut,,Improvement,Closed,JUSTIT,,,Issue with version number,,stefan,0,2,,0,,,
JUSTIT-1927,The grid Beziehungen is not keep the configuration,2019-10-28,2,sergio,,,,,,,client-app,client-app,client-app,,Bug,Closed,JUSTIT,,,Dev,,stefan,0,2,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-10-28,2,sergio,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Research,,stefan,0,2,,0,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-10-28,2,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Research,,stefan,0,2,,0,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-10-28,8,marcial,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Analysis, reproducing the error, supporting Emmanuel.",,stefan,0,8,,0,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-10-28,1.5,isabel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,stefan,0,1.5,,0,,,
JUSTIT-1991,Failure in Search Partnerverwaltung,2019-10-28,5,manuel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Fixed PartnerverwaltungSearchProOrganization query to allow recovering entries without adress too,,stefan,0,5,,0,,,
JUSTIT-1979,3 of 4 Home Items are missing on the server after the update of mika 1.0.3,2019-10-28,1,roberto,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Investigate, comments",,stefan,0,1,,0,,,
JUSTIT-1982,Saved Requests Disappear when Restarting Tomcat Search Service,2019-10-28,4,roberto,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Change synchronization strategy to support this. Create scripts to make conventionalName unique. Do integration tests,,sergiol,0,4,,0,,,
JUSTIT-1983,No Hitlist when adding a Partner to a M2,2019-10-28,0.5,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Dev,,neva,0,0.5,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-10-28,2.5,sergio,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,"Analysis, dev, test and commit",,stefan,0,2.5,,0,,,
JUSTIT-1914,Introduce the Grouping feature in the Search Module,2019-10-28,0.5,emmanuel,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,checking the groups.,,stefan,0,0.5,,0,,,
JUSTIT-1951,Change name space logging,2019-10-28,0.5,isabel,,,,,,,module-search,module-search,module-search,,Task,Closed,JUSTIT,,,,,isabel,0,0.5,,0,,,
JUSTIT-1987,MFP importer,2019-10-28,0.5,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Working on issue JUSTIT-1987,,robert,0,0.5,,0,,,
JUSTIT-1983,No Hitlist when adding a Partner to a M2,2019-10-25,1,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Analysis, dev and test (results checked with Neva)",,neva,0,1,,0,,,
JUSTIT-1891,"Introduce the ""Digital File Importer""",2019-10-25,2,gregorio,,,,,,,1.0.2.0,interface-mfp,interface-mfp,1.0.2.0,Improvement,Ready for Test,JUSTIT,,,Production issue regarding scanner creating files with extension .lck instead of .pdf.,,stefan,0,2,,0,,,
JUSTIT-1899,The Schriftgut properties should always be able to be mutated,2019-10-22,2,ignacio,,,,,,,Schriftgut,Schriftgut,Schriftgut,,Improvement,Closed,JUSTIT,,,Analysis,,stefan,0,2,,0,,,
JUSTIT-1899,The Schriftgut properties should always be able to be mutated,2019-10-23,2.5,ignacio,,,,,,,Schriftgut,Schriftgut,Schriftgut,,Improvement,Closed,JUSTIT,,,Proxy gen,,stefan,0,2.5,,0,,,
